SchoolName, SchoolAbbrev, Year, Enrolled, City, State, Country, SDNRank, ResTuition, NonResTuition, AvgMCAT, AvgGPA, Type
Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,osu-com,1972,115,Tulsa,OK,USA,5,22835,44966,27.0,3.6,Osteopathic
Baylor College of Medicine,bcm,1900,172,Houston,TX,USA,5,6550,19650,35.0,3.8,Allopathic
Columbia University College of Physicians and Surgeons,cucps,1767,162,New York,NY,USA,5,55418,55418,36.0,3.8,Allopathic
Duke University School of Medicine,dukemed,1930,112,Durham,NC,USA,5,39500,39500,35.0,3.7,Allopathic
Emory University School of Medicine,emory,1854,140,Atlanta,GA,USA,5,49800,49800,34.0,3.7,Allopathic
Harvard Medical School,hms,1782,176,Boston,MA,USA,5,55850,55850,36.0,3.8,Allopathic
Johns Hopkins University School of Medicine,jhu,1893,120,Baltimore,MD,USA,5,48750,48750,35.3,3.9,Allopathic
Mayo Medical School,mms,1972,50,Rochester,MN,USA,5,47470,47470,33.0,3.8,Allopathic
McGill University Faculty of Medicine,mcgill-fom,1829,,Montreal,QC,Canada,5,13224,37705,,,Allopathic
Stanford University School of Medicine,stanford,1908,116,Stanford,CA,USA,5,50715,50715,35.0,3.8,Allopathic
University of California Los Angeles David Geffen School of Medicine,ucla-geffen,1945,192,Los Angeles,CA,USA,5,32546,44791,35.0,3.8,Allopathic
University of California San Francisco School of Medicine,ucsf-som,1864,166,San Francisco,CA,USA,5,36382,48627,34.0,3.8,Allopathic
University of Chicago Pritzker School of Medicine,u-of-c,1927,90,Chicago,IL,USA,5,57240,57240,36.0,3.8,Allopathic
University of Michigan Medical School,umich,1848,177,Ann Arbor,MI,USA,5,32700,51116,34.8,3.8,Allopathic
University of Ottawa Faculty of Medicine,uottawa,1848,156,Ottawa,ON,Canada,5,23296,,,,Allopathic
University of Pennsylvania Perelman School of Medicine,pennmed,1765,157,Philadelphia,PA,USA,5,52210,52210,37.0,3.8,Allopathic
University of Toronto Faculty of Medicine,utoronto-fom,1843,259,Toronto,ON,Canada,5,22180,66070,33.0,3.9,Allopathic
University of Washington School of Medicine,uwash,1946,180,Seattle,WA,USA,5,36964,71048,28.0,3.5,Allopathic
Washington University-St. Louis School of Medicine,wustl,1891,123,St. Louis,MO,USA,5,58460,58460,37.4,3.8,Allopathic
Yale School of Medicine,ysm,1810,104,New Haven,CT,USA,5,55680,55680,36.6,3.8,Allopathic
A.T. Still University Kirksville College of Osteopathic Medicine,atsu-kcom,1892,172,Kirksville,MO,USA,4,51191,51191,27.0,3.6,Osteopathic
Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,wuhs-nw,2011,105,Lebanon,OR,USA,4,53610,53610,28.0,3.6,Osteopathic
Des Moines University College of Osteopathic Medicine,dmu-com,1898,221,Des Moines,IA,USA,4,45690,45690,28.3,3.6,Osteopathic
University of British Columbia Faculty of Medicine,ubc-fom,1950,272,Vancouver,BC,Canada,4,17066,,32.0,,Allopathic
Michigan State University College of Osteopathic Medicine,msucom,1969,250,East Lansing,MI,USA,4,27854,55848,28.0,3.6,Osteopathic
Ohio University Heritage College of Osteopathic Medicine,ou-com,1975,190,Athens,OH,USA,4,32806,45816,27.4,3.7,Osteopathic
Philadelphia College of Osteopathic Medicine at Philadelphia,pcom,1899,268,Philadelphia,PA,USA,4,46620,46620,28.0,3.5,Osteopathic
Cooper Medical School of Rowan University,cmsru,2012,,Camden,NJ,USA,4,35965,57076,,,Allopathic
Rowan University School of Osteopathic Medicine,umdnj-som,1976,162,Stratford,NJ,USA,4,37269,59798,28.0,3.5,Osteopathic
Liberty University College of Osteopathic Medicine,lucom,2010,,Lynchburg,VA,USA,4,41500,41500,,3.5,Osteopathic
Brown University Warren Alpert Medical School,brown,1972,125,Providence,RI,USA,4,49384,49384,32.7,3.7,Allopathic
Case Western Reserve University School of Medicine,cwru,1843,217,Cleveland,OH,USA,4,55370,55370,34.6,3.9,Allopathic
Cleveland Clinic Lerner College of Medicine of Case Western University,cclcm,2002,32,Cleveland,OH,USA,4,57475,57475,,,Allopathic
Dalhousie University Faculty of Medicine,dufm,1868,,Halifax,NS,Canada,4,18300,18300,,,Allopathic
Dartmouth Geisel School of Medicine,dms,1797,92,Hanover,NH,USA,4,56104,56104,34.0,3.8,Allopathic
Weill Cornell Medical College,cornell,1898,101,New York,NY,USA,4,50950,50950,34.8,3.8,Allopathic
Louisiana State University New Orleans School of Medicine,lsu-no,1931,192,New Orleans,LA,USA,4,23985,50880,31.0,3.6,Allopathic
Loyola University Stritch School of Medicine,loyola,1870,160,Maywood,IL,USA,4,54663,54663,28.0,3.6,Allopathic
Icahn School of Medicine at Mount Sinai,mssm,1963,138,New York,NY,USA,4,46388,46388,35.0,3.7,Allopathic
New York University School of Medicine,nyu,1841,159,New York,NY,USA,4,49080,49080,35.0,3.8,Allopathic
Northwestern University Feinberg School of Medicine,nu,1859,168,Chicago,IL,USA,4,53947,53947,36.0,3.9,Allopathic
Ohio State University College of Medicine,osu-comph,1834,186,Columbus,OH,USA,4,51484,70180,34.0,3.7,Allopathic
Uniformed Services University of the Health Sciences F. Edward Hébert School of Medicine,usuhs,1972,171,Bethesda,MD,USA,4,,,30.0,3.6,Allopathic
University of Alabama at Birmingham School of Medicine,uab-som,1859,190,Birmingham,AL,USA,4,28522,63988,30.0,3.7,Allopathic
University of Alberta Faculty of Medicine & Dentistry,uoa-fom,1913,162,Edmonton,AB,Canada,4,7663,,33.0,3.9,Allopathic
University of California Davis School of Medicine,uc-davis,1966,104,Sacramento,CA,USA,4,38012,38012,32.0,3.7,Allopathic
University of California Los Angeles / Charles R. Drew University of Medicine and Science,drewucla,1966,24,Los Angeles,CA,USA,4,22024,34269,,,Allopathic
University of California San Diego School of Medicine,ucsd-som,1968,89,La Jolla,CA,USA,4,36084,44993,34.1,3.7,Allopathic
University of Colorado Denver School of Medicine,ucolorado,1883,184,Aurora,CO,USA,4,35678,61633,34.0,3.8,Allopathic
University of Florida College of Medicine,uf-com,1956,119,Gainesville,FL,USA,4,32742,60588,32.2,3.8,Allopathic
University of Iowa Carver College of Medicine,ui-carver,1870,145,Iowa City,IA,USA,4,33532,50602,32.3,3.8,Allopathic
University of Massachusetts Medical School,umms,1970,125,Worcester,MA,USA,4,32000,,31.5,3.6,Allopathic
University of Miami Miller School of Medicine,ummsm,1952,151,Miami,FL,USA,4,36117,41580,33.5,3.8,Allopathic
University of Minnesota Twin Cities Medical School ,umn,1851,170,Minneapolis,MN,USA,4,37872,49767,32.0,3.7,Allopathic
University of North Carolina-Chapel Hill School of Medicine,unc-som,1879,180,Chapel Hill,NC,USA,4,17537,44416,31.9,3.8,Allopathic
University of Pittsburgh School of Medicine,pitt-med,1886,148,Pittsburgh,PA,USA,4,48792,50014,36.0,3.9,Allopathic
University of Rochester School of Medicine,rochester,1925,104,Rochester,NY,USA,4,50300,50300,33.0,3.8,Allopathic
University of Saskatchewan College of Medicine,usk-fom,1926,100,Saskatoon,SK,Canada,4,15840,,30.0,,Allopathic
University of Texas Medical School-Houston,ut-houston,1969,240,Houston,TX,USA,4,15024,26150,31.4,3.8,Allopathic
University of Texas Southwestern Medical Center Medical School,ut-southwestern,1943,230,Dallas,TX,USA,4,17163,30263,33.9,3.9,Allopathic
University of Vermont College of Medicine,uvm,1819,156,Burlington,VT,USA,4,47118,57726,34.4,3.8,Allopathic
University of Virginia School of Medicine,uva,1819,141,Charlottesville,VA,USA,4,30100,40100,33.5,3.9,Allopathic
